,CosZ,cfsirs,codsirs,year,month,day,hour,min,cfXL,codXL,cbase,ctop,cfopaquetsky,cfthintsky,cldthick,cftottsky,times
31,-0.952001,-9999.99,-9999.99,2014,2,22,3,30,-9999.99,0.0,810.0,1029.4824829,-9999.99,-9999.99,219.48248291,-9999.99,1393050600.0
32,-0.952865,-9999.99,-9999.99,2014,2,22,3,31,-9999.99,0.0,800.0,1039.4755859,-9999.99,-9999.99,239.47558594,-9999.99,1393050660.0
33,-0.006793,-9999.99,-9999.99,2014,2,22,10,13,-9999.99,0.0,1561.6666667000002,2568.4172363000002,-9999.99,-9999.99,1006.7505697,-9999.99,1393074780.0
34,0.018937,-9999.99,-9999.99,2014,2,22,10,19,-9999.99,0.0,1755.0,2510.9570109,-9999.99,-9999.99,755.9570109,-9999.99,1393075140.0
35,0.027513,-9999.99,-9999.99,2014,2,22,10,21,-9999.99,0.0,319.16666667,2508.4587401999997,-9999.99,-9999.99,2189.2920735999996,-9999.99,1393075260.0
36,0.09602000000000001,-9999.99,-9999.99,2014,2,22,10,37,0.9959183673,6.893743589700001,787.5,2578.410319,-9999.99,-9999.99,1790.910319,-9999.99,1393076220.0
37,0.168343,-9999.99,-9999.99,2014,2,22,10,54,0.9971870604999999,7.0544204116,1835.7142857000001,2628.3757324000003,-9999.99,-9999.99,792.66144671,-9999.99,1393077240.0
38,0.516536,1.0,7.15,2014,2,22,12,21,0.9949748744,7.7308453298,1159.1666667000002,2553.4276123000004,-9999.99,-9999.99,1394.2609455999998,-9999.99,1393082460.0
39,0.523868,1.0,8.12,2014,2,22,12,23,0.9922158795999999,8.8013505826,1375.0,2573.4137777,-9999.99,-9999.99,1198.4137777,-9999.99,1393082580.0
40,0.545626,0.99,5.85,2014,2,22,12,29,0.9256441718,6.3509850315,370.83333333,2608.3895671,-9999.99,-9999.99,2237.5562336999997,-9999.99,1393082940.0
41,0.563477,0.99,6.08,2014,2,22,12,34,0.9924829692,6.9452775936,1857.2727272999998,2633.8265048,-9999.99,-9999.99,776.55377752,-9999.99,1393083240.0
42,0.638783,1.0,5.11,2014,2,22,12,56,0.9829500397,6.3026946979,745.0,2633.3722738,-9999.99,-9999.99,1888.3722738,-9999.99,1393084560.0
43,0.642074,1.0,3.78,2014,2,22,12,57,0.9385705848,4.1012864606,580.83333333,2628.3757324000003,-9999.99,-9999.99,2047.5423991,-9999.99,1393084620.0
44,0.645352,1.0,2.58,2014,2,22,12,58,0.9706687524,3.2121103622000002,1664.1666667000002,2653.3584391,-9999.99,-9999.99,989.19177246,-9999.99,1393084680.0
45,0.648618,1.0,1.52,2014,2,22,12,59,1.1053284835,1.3738796191999998,462.5,2680.8394165,-9999.99,-9999.99,2218.3394165,-9999.99,1393084740.0
46,0.655115,1.0,0.99,2014,2,22,13,1,-9999.99,0.0,1826.6666667,2723.3100179000003,-9999.99,-9999.99,896.64335124,-9999.99,1393084860.0
47,0.726168,1.0,10.89,2014,2,22,13,24,0.9959926532,13.980251265,363.33333333,434.89412943,-9999.99,-9999.99,71.560796102,-9999.99,1393086240.0
48,0.787397,1.0,12.99,2014,2,22,13,46,0.9964007198999999,17.612756175,345.0,649.74536133,-9999.99,-9999.99,304.74536133,-9999.99,1393087560.0
49,0.8153600000000001,1.0,12.88,2014,2,22,13,57,0.9951310325,17.931210653,406.66666667,1788.9566922000001,-9999.99,-9999.99,1382.2900255000002,-9999.99,1393088220.0
50,0.8719180000000001,1.0,24.75,2014,2,22,14,22,0.9981646565000001,37.290465311999995,611.66666667,1269.3164875999998,-9999.99,-9999.99,657.64982096,-9999.99,1393089720.0
51,0.885943,1.0,21.59,2014,2,22,14,29,0.99563543,31.784074632,828.33333333,1164.3891195,-9999.99,-9999.99,336.05578613,-9999.99,1393090140.0
52,0.9322799999999999,1.0,20.78,2014,2,22,14,56,0.9948366955,31.913938279,793.33333333,1299.2957357,-9999.99,-9999.99,505.96240234,-9999.99,1393091760.0
53,0.94086,1.0,17.81,2014,2,22,15,2,0.9953731165999999,27.902876543,585.0,820.62706909,-9999.99,-9999.99,235.62706909,-9999.99,1393092120.0
54,0.9422280000000001,1.0,14.12,2014,2,22,15,3,0.9939609236,22.141762275,562.5,702.20904541,-9999.99,-9999.99,139.70904541,-9999.99,1393092180.0
55,0.961685,0.82,-9999.99,2014,2,22,15,19,0.9847821073999999,23.395681871999997,615.0,1783.9602458000002,-9999.99,-9999.99,1168.9602458,-9999.99,1393093140.0
56,0.700014,1.0,10.89,2014,2,23,13,15,0.9977160928000001,12.884682236,420.0,1526.6383972,-9999.99,-9999.99,1106.6383972,-9999.99,1393172100.0
57,0.709134,0.99,8.57,2014,2,23,13,18,0.9953375928,10.696764124,559.16666667,2723.3100179000003,-9999.99,-9999.99,2164.1433512,-9999.99,1393172280.0
58,0.718133,0.98,8.11,2014,2,23,13,21,0.9960944133,9.850508685700001,487.5,949.53781128,-9999.99,-9999.99,462.03781128,-9999.99,1393172460.0
59,0.724066,1.0,10.19,2014,2,23,13,23,0.9961370506999999,12.972086525999998,451.81818182,540.72991666,-9999.99,-9999.99,88.911734841,-9999.99,1393172580.0
60,0.7299439999999999,1.0,12.85,2014,2,23,13,25,0.99700947,16.572846889,502.5,672.22979736,-9999.99,-9999.99,169.72979736,-9999.99,1393172700.0
61,0.732862,1.0,13.82,2014,2,23,13,26,0.9976863328,18.200465316,450.83333333,622.26438395,-9999.99,-9999.99,171.43105062,-9999.99,1393172760.0
62,0.48545699999999997,1.0,17.67,2014,2,23,20,21,0.9994222992,19.016202832,1024.5113932,4899.3033854,-9999.99,-9999.99,3874.7919921999996,-9999.99,1393197660.0
63,0.376898,1.0,16.99,2014,2,23,20,49,0.9983525535,14.519843687,462.5,597.28167725,-9999.99,-9999.99,134.78167725,-9999.99,1393199340.0
64,0.372909,1.0,17.23,2014,2,23,20,50,0.9983277592,15.033020315,448.33333333,599.77994792,-9999.99,-9999.99,151.44661458,-9999.99,1393199400.0
65,0.36891399999999996,1.0,17.49,2014,2,23,20,51,0.9987261145999999,15.455051737,458.33333333,607.27475993,-9999.99,-9999.99,148.94142659,-9999.99,1393199460.0
66,0.364912,1.0,17.24,2014,2,23,20,52,0.9991375593,14.776957864000002,447.5,647.24709066,-9999.99,-9999.99,199.74709066,-9999.99,1393199520.0
67,0.34883600000000003,1.0,14.37,2014,2,23,20,56,0.9986200552,11.860376332000001,490.0,527.33011119,-9999.99,-9999.99,37.330111185999996,-9999.99,1393199760.0
68,0.3448,1.0,13.67,2014,2,23,20,57,0.9985968195,11.496119558,435.83333333,499.84915161,-9999.99,-9999.99,64.015818278,-9999.99,1393199820.0
69,0.34075900000000003,1.0,13.27,2014,2,23,20,58,0.9985727878,11.073326536,420.83333333,499.84915161,-9999.99,-9999.99,79.015818278,-9999.99,1393199880.0
70,-0.8526090000000001,-9999.99,-9999.99,2014,2,24,2,21,-9999.99,0.0,775.0,1181.8770142,-9999.99,-9999.99,406.87701416,-9999.99,1393219260.0
71,-0.8546790000000001,-9999.99,-9999.99,2014,2,24,2,22,-9999.99,0.0,789.16666667,1229.3441569,-9999.99,-9999.99,440.17749023,-9999.99,1393219320.0
72,-0.856733,-9999.99,-9999.99,2014,2,24,2,23,-9999.99,0.0,781.66666667,1279.3095703,-9999.99,-9999.99,497.64290365,-9999.99,1393219380.0
73,-0.85877,-9999.99,-9999.99,2014,2,24,2,24,-9999.99,0.0,785.0,1281.807841,-9999.99,-9999.99,496.80784098,-9999.99,1393219440.0
74,-0.860791,-9999.99,-9999.99,2014,2,24,2,25,-9999.99,0.0,770.0,1309.2888184,-9999.99,-9999.99,539.28881836,-9999.99,1393219500.0
75,-0.8627950000000001,-9999.99,-9999.99,2014,2,24,2,26,-9999.99,0.0,783.33333333,1306.7905477,-9999.99,-9999.99,523.45721436,-9999.99,1393219560.0
76,-0.8647819999999999,-9999.99,-9999.99,2014,2,24,2,27,-9999.99,0.0,825.83333333,1279.3095703,-9999.99,-9999.99,453.47623698,-9999.99,1393219620.0
77,-0.8667530000000001,-9999.99,-9999.99,2014,2,24,2,28,-9999.99,0.0,775.0,1279.3095703,-9999.99,-9999.99,504.30957031,-9999.99,1393219680.0
78,-0.868707,-9999.99,-9999.99,2014,2,24,2,29,-9999.99,0.0,882.5,1311.7870890000002,-9999.99,-9999.99,429.28708903,-9999.99,1393219740.0
79,-0.8706450000000001,-9999.99,-9999.99,2014,2,24,2,30,-9999.99,0.0,772.5,1459.1850585999998,-9999.99,-9999.99,686.68505859,-9999.99,1393219800.0
80,-0.872566,-9999.99,-9999.99,2014,2,24,2,31,-9999.99,0.0,786.66666667,1576.6037801,-9999.99,-9999.99,789.93711344,-9999.99,1393219860.0
81,-0.8744700000000001,-9999.99,-9999.99,2014,2,24,2,32,-9999.99,0.0,772.5,1596.5899455,-9999.99,-9999.99,824.08994548,-9999.99,1393219920.0
82,0.032327,-9999.99,-9999.99,2014,2,24,10,22,-9999.99,0.0,440.0,597.28167725,-9999.99,-9999.99,157.28167725,-9999.99,1393248120.0
83,0.04092,-9999.99,-9999.99,2014,2,24,10,24,0.972972973,0.8092929686,440.0,572.29897054,-9999.99,-9999.99,132.29897054,-9999.99,1393248240.0
84,0.045215,-9999.99,-9999.99,2014,2,24,10,25,0.9782608695999999,0.9368214512,430.0,577.29551188,-9999.99,-9999.99,147.29551188,-9999.99,1393248300.0
85,0.053804,-9999.99,-9999.99,2014,2,24,10,27,0.9850746269,1.2109062815,421.66666667,587.28859456,-9999.99,-9999.99,165.6219279,-9999.99,1393248420.0
86,0.058097,-9999.99,-9999.99,2014,2,24,10,28,0.9873417722,1.3110647215,412.5,507.34395599,-9999.99,-9999.99,94.843955994,-9999.99,1393248480.0
87,0.06668099999999999,-9999.99,-9999.99,2014,2,24,10,30,0.9906542056000001,1.5117133306000001,424.0,565.8034729,-9999.99,-9999.99,141.8034729,-9999.99,1393248600.0
88,0.118068,-9999.99,-9999.99,2014,2,24,10,42,0.9945799458,3.3551084083999996,520.0,589.78686523,-9999.99,-9999.99,69.78686523399999,-9999.99,1393249320.0
89,0.122339,-9999.99,-9999.99,2014,2,24,10,43,0.9949494949,3.7927149176,487.27272727,592.51225142,-9999.99,-9999.99,105.23952415,-9999.99,1393249380.0
90,0.126607,-9999.99,-9999.99,2014,2,24,10,44,0.9952718676000001,4.2921251,457.5,597.28167725,-9999.99,-9999.99,139.78167725,-9999.99,1393249440.0
