SAT,WL(um),PW(cm),PHASE,COD,VZA(deg),SZA(deg),Reff(um),Topdown(W/m2),L30(W/m2/sr),L150(W/m2/sr),R30,R150
GOES13,3.9,6,water,50,10,0,26.0,3244.605,44.41851807,44.41851807,0.043008282996561,0.043008282996561
GOES13,3.9,6,water,50,10,0,26.5,3244.605,43.05319595,43.05319595,0.041686308228608,0.041686308228608
GOES13,3.9,6,water,50,10,0,27.0,3244.605,41.74938583,41.74938583,0.040423892527878,0.040423892527878
GOES13,3.9,6,water,50,10,0,27.5,3244.605,40.50298309,40.50298309,0.039217061591169,0.039217061591169
GOES13,3.9,6,water,50,10,0,28.0,3244.605,39.31044769,39.31044769,0.038062387770539,0.038062387770539
GOES13,3.9,6,water,50,10,0,28.5,3244.605,38.16849518,38.16849518,0.036956690893365,0.036956690893365
GOES13,3.9,6,water,50,10,0,29.0,3244.605,37.07378387,37.07378387,0.035896735364326,0.035896735364326
GOES13,3.9,6,water,50,10,0,29.5,3244.605,36.02392578,36.02392578,0.034880209018944,0.034880209018944
GOES13,3.9,6,water,50,10,0,30.0,3244.605,35.01606369,35.01606369,0.033904345350555,0.033904345350555
GOES13,3.9,6,water,50,10,0,31.0,3244.605,33.11831665,33.11831665,0.032066849520019,0.032066849520019
GOES13,3.9,6,water,50,10,0,32.0,3244.605,31.36358643,31.36358643,0.030367829895694,0.030367829895694
GOES13,3.9,6,water,50,10,0,33.0,3244.605,29.73781967,29.73781967,0.02879367929503,0.02879367929503
GOES13,3.9,6,water,50,10,0,34.0,3244.605,28.22895813,28.22895813,0.027332722312794,0.027332722312794
GOES13,3.9,6,water,50,10,0,35.0,3244.605,26.82648468,26.82648468,0.025974775725343,0.025974775725343
GOES13,3.9,6,water,50,10,0,36.0,3244.605,25.52042007,25.52042007,0.024710177111987,0.024710177111987
GOES13,3.9,6,water,50,10,0,37.0,3244.605,24.30286789,24.30286789,0.023531280764342,0.023531280764342
GOES13,3.9,6,water,50,10,0,38.0,3244.605,23.16636848,23.16636848,0.022430863857734,0.022430863857734
GOES13,3.9,6,water,50,10,0,39.0,3244.605,22.10429382,22.10429382,0.021402508803908,0.021402508803908
GOES13,3.9,6,water,50,10,0,40.0,3244.605,21.11041832,21.11041832,0.020440187667935,0.020440187667935
GOES13,3.9,6,water,50,10,0,41.0,3244.605,20.17955589,20.17955589,0.019538879012,0.019538879012
GOES13,3.9,6,water,50,10,0,42.0,3244.605,19.30663872,19.30663872,0.018693675923037,0.018693675923037
GOES13,3.9,6,water,50,10,0,43.0,3244.605,18.4876194,18.4876194,0.017900659491496,0.017900659491496
GOES13,3.9,6,water,50,10,0,44.0,3244.605,17.71852493,17.71852493,0.017155982855397,0.017155982855397
GOES13,3.9,6,water,50,10,0,45.0,3244.605,16.9950676,16.9950676,0.01645549443443,0.01645549443443
GOES13,3.9,6,water,50,10,0,46.0,3244.605,16.31452751,16.31452751,0.01579656068218,0.01579656068218
GOES13,3.9,6,water,50,10,0,47.0,3244.605,15.67357159,15.67357159,0.015175954349654,0.015175954349654
GOES13,3.9,6,water,50,10,0,48.0,3244.605,15.06933117,15.06933117,0.014590897843708,0.014590897843708
GOES13,3.9,6,water,50,10,0,49.0,3244.605,14.49958801,14.49958801,0.014039243350822,0.014039243350822
GOES13,3.9,6,water,50,10,0,50.0,3244.605,13.96165848,13.96165848,0.013518392443055,0.013518392443055
GOES13,3.9,6,water,50,10,0,51.0,3244.605,13.45356655,13.45356655,0.013026431827006,0.013026431827006
GOES13,3.9,6,water,50,10,0,52.0,3244.605,12.97341728,12.97341728,0.012561526724764,0.012561526724764
GOES13,3.9,6,water,50,10,0,53.0,3244.605,12.51909542,12.51909542,0.012121629043,0.012121629043
GOES13,3.9,6,water,50,10,0,54.0,3244.605,12.08909225,12.08909225,0.011705277961776,0.011705277961776
GOES13,3.9,6,water,50,10,0,55.0,3244.605,11.6819191,11.6819191,0.011311032074595,0.011311032074595
GOES13,3.9,6,water,50,10,0,56.0,3244.605,11.295928,11.295928,0.01093729573254,0.01093729573254
GOES13,3.9,6,water,50,10,0,57.0,3244.605,10.92995644,10.92995644,0.010582943333922,0.010582943333922
GOES13,3.9,6,water,50,10,0,58.0,3244.605,10.58273506,10.58273506,0.010246745819409,0.010246745819409
GOES13,3.9,6,water,50,10,0,59.0,3244.605,10.25296974,10.25296974,0.00992745015577,0.00992745015577
GOES13,3.9,6,water,50,10,5,2.0,3232.259,332.8813477,333.0380554,0.323543873325556,0.323696185302747
GOES13,3.9,6,water,50,10,5,2.5,3232.259,313.7145691,313.9329224,0.304914731650108,0.305126960039964
GOES13,3.9,6,water,50,10,5,3.0,3232.259,295.9421387,295.0444031,0.28764082606857,0.286768272363615
GOES13,3.9,6,water,50,10,5,3.5,3232.259,280.8365173,277.4945679,0.272958924272288,0.269710718084694
GOES13,3.9,6,water,50,10,5,4.0,3232.259,268.4729614,261.5954285,0.260942171781944,0.254257556832009
GOES13,3.9,6,water,50,10,5,4.5,3232.259,258.3816223,247.4225769,0.251133899368922,0.240482260215316
GOES13,3.9,6,water,50,10,5,5.0,3232.259,249.8228455,234.9659729,0.242815200180956,0.228375069666824
