CloudFraction,Count,Outlier,Time
1.0,180,False,2013-11-16 07:06:25.009976000
0.9250828729281768,362,False,2013-11-16 19:26:11.084121000
1.0,374,False,2013-11-17 07:49:15.367184000
0.9208465608465609,189,False,2013-11-17 20:09:02.003207000
1.0,64,True,2013-11-18 06:54:12.303687000
0.6721860465116279,215,False,2013-11-18 19:13:57.414019000
1.0,485,False,2013-11-19 07:37:01.834754000
1.0,322,False,2013-11-19 19:56:48.441775000
1.0,125,False,2013-11-20 19:01:43.010282000
1.0,394,False,2013-11-21 07:24:47.727720000
0.2575213675213675,468,False,2013-11-21 19:44:34.086706000
1.0,172,False,2013-11-22 08:07:38.085773000
0.9850420168067227,238,False,2013-11-23 07:12:33.129518000
0.5511415525114155,438,False,2013-11-23 19:32:19.033060000
0.9638225255972697,293,False,2013-11-24 07:55:22.736525000
0.612054794520548,73,True,2013-11-24 20:15:04.242090000
0.851830985915493,71,True,2013-11-24 20:15:12.692953000
1.0,135,False,2013-11-25 07:00:18.397110000
0.7227149321266968,221,True,2013-11-25 19:20:01.577356000
0.9967213114754098,61,True,2013-11-25 19:20:09.679180000
1.0,450,False,2013-11-26 07:43:07.079584000
0.9855870445344129,247,False,2013-11-26 20:02:53.169722000
0.8809999999999999,160,False,2013-11-27 19:07:47.179458000
0.39272727272727276,462,False,2013-11-28 07:30:51.556649000
0.6257493857493858,407,False,2013-11-28 19:50:38.366802000
1.0,128,False,2013-11-29 08:13:42.961418000
1.0,311,False,2013-11-30 07:18:38.285798000
0.9496907216494845,485,False,2013-11-30 19:38:24.835979000
1.0,223,False,2013-12-01 08:01:29.022543000
1.0,88,True,2013-12-01 20:21:14.752162000
1.0,180,False,2013-12-02 07:06:24.832120000
0.9703867403314917,362,False,2013-12-02 19:26:10.749868000
1.0,375,False,2013-12-03 07:49:14.815450000
0.9901075268817204,186,False,2013-12-03 20:09:01.109724000
1.0,65,True,2013-12-04 06:54:11.380948000
0.8597209302325581,215,False,2013-12-04 19:13:56.095666000
1.0,483,False,2013-12-05 07:37:00.288219000
0.31478260869565217,322,False,2013-12-05 19:56:46.821744000
1.0,2,True,2013-12-06 08:19:45.252612999
0.4370967741935484,124,False,2013-12-06 19:01:40.822848000
0.8452791878172589,394,False,2013-12-07 07:24:45.460957000
0.4281953290870489,471,False,2013-12-07 19:44:31.750133000
1.0,169,False,2013-12-08 08:07:35.584718000
0.8886666666666666,240,False,2013-12-09 07:12:30.203119000
0.30405466970387246,439,False,2013-12-09 19:32:15.905591000
0.23686006825938566,293,False,2013-12-10 07:55:19.389040000
0.5596153846153846,104,True,2013-12-10 20:15:02.616136000
0.846829268292683,41,True,2013-12-10 20:15:11.097410000
0.8469565217391305,23,True,2013-12-11 07:00:07.517704000
0.9887719298245614,114,True,2013-12-11 07:00:15.906599000
0.34785714285714286,280,False,2013-12-11 19:19:59.309457000
1.0,449,False,2013-12-12 07:43:02.773631000
0.681285140562249,249,False,2013-12-12 20:02:48.662319000
0.8375460122699387,163,False,2013-12-13 19:07:41.931931000
0.8741991341991341,462,False,2013-12-14 07:30:45.669558000
0.7370443349753694,406,False,2013-12-14 19:50:31.408854000
1.0,127,False,2013-12-15 08:13:34.527324000
0.9727687296416938,307,False,2013-12-16 07:18:28.003238000
0.9980952380952381,483,False,2013-12-16 19:38:13.168805000
0.9998237885462555,227,False,2013-12-17 08:01:16.015448000
0.9146938775510205,98,True,2013-12-17 20:21:00.207398000
1.0,179,False,2013-12-18 07:06:09.734717000
1.0,357,False,2013-12-18 19:25:54.460855000
1.0,379,False,2013-12-19 07:48:59.032734000
0.9926315789473683,190,False,2013-12-19 20:08:45.633151000
1.0,56,True,2013-12-20 06:53:56.475287000
0.5932394366197183,213,False,2013-12-20 19:13:41.522621000
0.9992607802874742,487,False,2013-12-21 07:36:46.163096000
0.9991358024691358,324,False,2013-12-21 19:56:32.970752000
0.8033333333333332,12,True,2013-12-22 08:19:34.434196000
