Long_LW_CloudFraction,Long_SW_CloudFraction,Time,XL_CloudAlbedo,XL_CloudAlbedoCorrected,XL_CloudFraction,XL_CloudFractionCorrected,TSI_CloudFraction,Lidar_CloudFraction
0.07,0.33,2014-03-03 14:55:00,0.3574495433835819,0.31699884271781786,0.2344520931893897,0.26436939938759546,0.977271,0.0902062
0.36,0.57,2014-03-03 15:05:00,0.5060937679502575,0.44838410630385145,0.5970891968630121,0.6739380749549088,0.985036,0.227663
0.39,0.67,2014-03-03 15:15:00,0.5667854875975742,0.5017290243098673,0.879189969703422,0.9931897329533272,0.973847,0.37457
0.57,0.8,2014-03-03 15:25:00,0.2935377644595034,0.25965767913949983,0.5582627982995432,0.6311048236155402,0.986878,0.399633
0.43,0.59,2014-03-03 15:35:00,,,,,0.990378,0.494959
0.46,0.77,2014-03-03 15:45:00,0.5106160056860756,0.4512045101754567,0.8543472010597349,0.9668417434581086,0.981396,0.550871
0.5,0.63,2014-03-03 15:55:00,0.5665015400932008,0.5004213055691111,0.8127864018267091,0.9201141983313332,0.956946,0.43691
0.25,0.31,2014-03-03 16:05:00,,,,,0.855963,0.245704
0.38,0.44,2014-03-03 16:15:00,,,,,0.889057,0.0652921
0.34,0.3,2014-03-03 16:25:00,,,,,0.839798,0.0510033
0.41,0.55,2014-03-03 18:05:00,,,,,0.764147,0.317283
0.46,0.41,2014-03-03 18:15:00,,,,,0.850396,0.322165
0.38,0.33,2014-03-03 18:25:00,,,,,0.672876,0.182274
0.39,0.31,2014-03-03 18:35:00,,,,,0.692695,0.0794314
0.43,0.32,2014-03-03 18:45:00,,,,,0.649514,0.245819
0.5,0.53,2014-03-03 18:55:00,,,,,0.653549,0.4811
0.39,0.39,2014-03-03 19:05:00,,,,,0.59463,0.458763
0.38,0.33,2014-03-03 19:15:00,,,,,0.498497,0.44712
0.61,0.51,2014-03-03 19:25:00,0.6114196372391653,0.5522830834653457,0.9216632247253946,1.0203517206835462,0.698236,0.209205
0.45,0.45,2014-03-03 19:35:00,,,,,0.571079,0.205021
0.38,0.4,2014-03-03 19:45:00,0.2874779121632192,0.26090277847392906,0.2734138280662916,0.3012633169673397,0.584561,0.0200669
0.5,0.5,2014-03-03 19:55:00,0.3811569594357515,0.3467867185341293,0.4152176245369623,0.4563700938191162,0.60606,0.0128977
0.48,0.37,2014-03-03 20:05:00,0.6193982025286368,0.5650013648965205,0.7062972188090418,0.7742976476904966,0.519125,0.0128977
0.38,1.0,2014-03-03 20:15:00,0.7149709208343736,0.6539184760288757,0.9983347058296208,1.0915432276245984,0.384793,0.0
0.07,0.53,2014-03-03 20:25:00,0.5911776118522626,0.5421778046512751,0.49072355042660704,0.5350731330793931,0.412782,0.0
0.0,0.34,2014-03-03 20:35:00,0.5465327671467777,0.5026425169384411,0.475226823724469,0.5167231625658855,0.381563,0.0
0.0,0.31,2014-03-03 20:45:00,0.6003550602418479,0.5537313915299811,0.6499999762178309,0.704729370320207,0.37813,0.0
0.0,0.28,2014-03-03 20:55:00,0.6142497606003755,0.5682120686493007,0.7592332959349353,0.8207479143772001,0.398202,0.0
0.0,0.24,2014-03-03 21:05:00,0.622299544949398,0.5773827912632818,0.8419282436453436,0.9074249714893818,0.40078,0.0
0.0,1.0,2014-03-03 21:15:00,0.6422919196604007,0.5977474297658943,0.9833217859278088,1.0565995035308169,0.392082,0.0
0.0,1.0,2014-03-03 21:25:00,0.6240802699987634,0.5825944664230034,0.9945799708446834,1.0654027329697349,0.404342,0.0569038
0.04,--,2014-03-03 21:35:00,0.5806529619296255,0.5437515775653737,0.9974779492245566,1.0651712097462247,0.480659,0.153138
0.38,--,2014-03-03 21:45:00,0.5140244340360387,0.4828814157852768,0.9980080982880434,1.0623737653097236,0.435978,0.416736
0.75,--,2014-03-03 21:55:00,,,,,0.693222,0.699914
0.88,--,2014-03-03 22:05:00,,,,,--,0.909639
0.84,--,2014-03-03 22:15:00,,,,,--,0.795181
1.0,--,2014-03-04 10:15:00,,,,,--,0.919313
1.0,--,2014-03-04 10:25:00,,,,,0.52184,0.912354
1.0,--,2014-03-04 10:35:00,,,,,0.677487,0.869783
1.0,--,2014-03-04 10:45:00,0.6612945767523308,0.6213132139946054,0.9959016442299322,1.0599876865224722,0.807332,0.843776
1.0,--,2014-03-04 10:55:00,0.7014923301222843,0.6569989171687879,0.996143937110906,1.063604997390874,0.902802,0.852234
1.0,1.0,2014-03-04 11:05:00,0.6552345028362435,0.6117576434146088,0.9963335990907756,1.067141796243718,0.90924,0.897766
1.0,1.0,2014-03-04 11:15:00,0.6119603972110264,0.5695922681105292,0.9964838028243462,1.070605515439349,0.920281,0.920103
0.95,1.0,2014-03-04 11:25:00,0.6114765286636905,0.5674116947605519,0.9960362315481788,1.073387776308285,0.894342,0.920635
1.0,1.0,2014-03-04 11:35:00,0.5981388657008501,0.5533758023649139,0.9966996909319596,1.0773236199173375,0.919664,0.909774
0.79,1.0,2014-03-04 11:45:00,0.5047272962711428,0.4655848699652632,0.9971798418239732,1.0810142638386229,0.942795,0.900585
0.63,1.0,2014-03-04 11:55:00,0.4415021521420893,0.40609277964621343,0.9968450907755632,1.0837652748052036,0.960537,0.905498
0.68,1.0,2014-03-04 12:05:00,0.4443860541303829,0.4075978181698921,0.997516978536398,1.0875490845613058,0.956296,0.869416
0.82,1.0,2014-03-04 12:15:00,0.6034188033776466,0.5519502755490318,0.9997209907259934,1.0929434600523271,0.97363,0.808419
0.88,0.38,2014-03-04 12:25:00,0.8003071482890352,0.7300963443862406,0.8812959194183348,0.9660470559695398,0.945771,0.512154
0.88,0.95,2014-03-04 12:35:00,0.7688193917274475,0.6995598168935466,1.0,1.0990045070648191,0.940798,0.48995
0.88,1.0,2014-03-04 12:45:00,0.8105219794344013,0.7356629162136821,0.999358057975769,1.1010500236754694,0.92304,0.539364
0.88,1.0,2014-03-04 12:55:00,0.7762895061594597,0.7028937168923507,0.9982089400291444,1.1024413883299218,0.927281,0.84721
0.73,1.0,2014-03-04 13:05:00,0.7329868411552087,0.6621464145022042,0.997206211090088,1.1038933604991146,0.931029,0.870275
1.0,1.0,2014-03-04 13:15:00,0.6366180804978094,0.5738130237399043,0.9973698258419617,1.1065340760926141,0.965611,0.762887
1.0,1.0,2014-03-04 13:25:00,0.5124004528257762,0.4608692974869658,0.9951891654586534,1.1064642010411685,0.965927,0.755221
0.89,1.0,2014-03-04 13:35:00,0.4880570735830943,0.4380870207523206,0.973975180097547,1.0850708960166289,0.980546,0.797997
0.84,1.0,2014-03-04 13:45:00,0.3286794302294295,0.29446250928303463,0.8814782042396175,0.9839071012284908,0.99094,0.895659
0.88,1.0,2014-03-04 13:55:00,0.38830913057361416,0.3472563313402084,0.9896581299151928,1.106655957889458,0.992035,0.883262
0.88,0.98,2014-03-04 14:05:00,0.4413473110671725,0.3940187045691709,0.9680384714109668,1.084316991585365,0.992176,0.870275
0.73,1.0,2014-03-04 14:15:00,0.5609738893324062,0.5000260390501989,0.9938247232664272,1.1149613755804824,0.979026,0.87543
0.88,1.0,2014-03-04 14:25:00,0.6221351016556653,0.5537314506298842,0.9902420044044182,1.1125687539926856,0.990882,0.887218
0.88,1.0,2014-03-04 14:35:00,0.8096811771392822,0.7196891479393368,1.0,1.1250429153442385,0.94787,0.902256
0.88,1.0,2014-03-04 14:45:00,0.6969581771084468,0.6187381042881225,0.9976560473442184,1.1237784376286917,0.97486,0.92147
0.88,1.0,2014-03-04 14:55:00,0.8108662359086257,0.7190716642959903,0.9987933039665222,1.126296316558374,0.977028,0.928694
0.88,1.0,2014-03-04 15:05:00,0.7065510430516762,0.6259558196560553,0.9977511763572716,1.1262170783053402,0.974843,0.895189
0.79,1.0,2014-03-04 15:15:00,0.7862152720114641,0.6959431094308504,0.9981374144554138,1.1276078003741716,0.976853,0.862543
0.89,1.0,2014-03-04 15:25:00,0.897802541714629,0.7941469016588102,0.9998852014541626,1.1303947335351694,0.964163,0.853211
0.88,1.0,2014-03-04 15:35:00,0.9156185589871592,0.8094281789804809,0.9998865127563475,1.1310634738634917,0.953665,0.754128
0.88,1.0,2014-03-04 15:45:00,0.9352754950523376,0.8264249523331402,1.0,1.131712555885315,0.950646,0.64253
0.88,1.0,2014-03-04 15:55:00,0.9288868308067322,0.8205093874432403,1.0,1.1320855617523191,0.956376,0.565665
0.88,1.0,2014-03-04 16:05:00,0.9086345121745174,0.8024607170267132,0.9997771978378296,1.1320579900864374,0.961353,0.414592
0.88,1.0,2014-03-04 16:15:00,0.8782640189903955,0.7755869977142134,0.9987760186195374,1.131000187946995,0.990656,0.255155
0.88,1.0,2014-03-04 16:25:00,0.8432635855910386,0.7447264124811783,0.9991087317466736,1.1313040566414827,0.977197,0.11204
0.41,1.0,2014-03-04 19:05:00,0.38524986355858254,0.3464924078918617,0.9123748480575524,1.0144299780390955,0.985446,0.379725
0.77,1.0,2014-03-04 19:35:00,0.4552549792472947,0.4121940886809031,0.9793265960565474,1.0816344081760798,0.973166,0.869565
0.5,1.0,2014-03-04 20:05:00,0.5114639813153568,0.4665716710691249,0.9855952067730536,1.0804266089845689,0.934746,0.371134
0.45,1.0,2014-03-04 20:35:00,0.5186821603996676,0.4770598303322096,0.97511393022057,1.060190290199891,0.918011,0.615385
0.54,1.0,2014-03-07 14:25:00,0.3540915094508102,0.3151141373769421,0.9813404476743528,1.1027252642317402,0.985824,0.90142
0.63,1.0,2014-03-07 14:35:00,0.3138609188698816,0.2789385068483768,0.9194255410845721,1.0345353476567558,0.986175,0.879699
1.0,1.0,2014-03-07 20:45:00,0.5639089244387863,0.520270921550576,0.9995911740325688,1.0834324204536845,0.956723,0.73495
1.0,1.0,2014-03-07 21:05:00,0.8566795587539673,0.7951042940074552,1.0,1.07744300365448,0.994817,0.13598
1.0,1.0,2014-03-07 21:15:00,0.811191976070404,0.7551893963187248,1.0,1.0741569995880127,0.990506,0.278716
1.0,1.0,2014-03-07 21:25:00,0.8588454127311707,0.8020351683412568,1.0,1.07083261013031,0.989375,0.49205
1.0,--,2014-03-07 21:35:00,0.9052764177322388,0.8480528700145544,1.0,1.0674763917922974,0.969509,0.733891
1.0,--,2014-03-07 21:45:00,0.9212143421173096,0.865725930631967,1.0,1.0640946626663208,0.906916,0.584448
1.0,--,2014-03-07 21:55:00,,,,,0.775637,0.370777
0.88,--,2014-03-07 22:05:00,,,,,--,0.252747
1.0,--,2014-03-08 10:15:00,,,,,--,0.000859107
1.0,--,2014-03-08 10:25:00,,,,,0.336762,0.107023
1.0,--,2014-03-08 10:35:00,,,,,0.739074,0.421053
1.0,--,2014-03-08 10:45:00,0.8304580450057983,0.7800861540832039,1.0,1.0645722150802612,0.856354,0.734336
1.0,--,2014-03-08 10:55:00,0.8203752040863037,0.7681765038522649,1.0,1.0679514408111572,0.890197,0.896996
1.0,1.0,2014-03-08 11:05:00,0.8588756322860718,0.8017103177778042,1.0,1.071304202079773,0.900082,0.670386
1.0,1.0,2014-03-08 11:15:00,0.8864143464886632,0.8248597639995168,0.999303102493286,1.0738753970077255,0.911354,0.465236
1.0,1.0,2014-03-08 11:25:00,0.8791078925132751,0.8155707110409014,1.0,1.0779051780700684,0.915296,0.428094
0.88,1.0,2014-03-08 11:35:00,0.8827309608459473,0.8164810691405456,1.0,1.0811407566070557,0.923424,0.407191
0.88,1.0,2014-03-08 11:45:00,0.9045072681533296,0.8341663286808547,0.9995991587638856,1.083890194623052,0.939848,0.604515
0.95,1.0,2014-03-08 11:55:00,0.8929290064860018,0.8211208857378559,0.9996502995491028,1.0870710565445094,0.946837,0.661803
1.0,1.0,2014-03-08 12:05:00,0.8973285395007199,0.8228490316335095,0.9993804097175598,1.089838511053756,0.963969,0.912446
1.0,1.0,2014-03-08 12:15:00,0.9130566120147704,0.8349794489463599,1.0,1.0935078859329224,0.959064,0.955365
1.0,1.0,2014-03-08 12:45:00,0.8934774994850159,0.8107663791406238,1.0,1.1020159721374512,0.979469,0.757525
1.0,1.0,2014-03-08 12:55:00,0.8762168985000253,0.7931886940194339,0.999403953552246,1.1040180465668072,0.983185,0.755155
1.0,1.0,2014-03-08 13:05:00,0.8643198063511398,0.7806069849120113,0.999627947807312,1.1068287255582159,0.985261,0.892704
1.0,1.0,2014-03-08 13:15:00,0.8457277228626328,0.7621203329671159,0.99929940700531,1.1089262094009058,0.98665,0.788841
1.0,1.0,2014-03-08 13:25:00,0.8365768363782746,0.7522762578447907,0.9990054965019226,1.1109547178617944,0.989058,0.547659
1.0,1.0,2014-03-08 13:35:00,0.8234086597627119,0.7389421852691278,0.998896598815918,1.1130777563781749,0.991489,0.388796
1.0,1.0,2014-03-08 13:45:00,0.806805429581433,0.7226595167484817,0.9993977546691896,1.11576685298013,0.99126,0.520067
0.89,1.0,2014-03-08 13:55:00,0.7719928207072927,0.6902330400096354,0.9987003207206726,1.116998800323536,0.993112,0.618026
0.68,1.0,2014-03-08 14:05:00,0.7368839642180566,0.6577306985623401,0.998331904411316,1.1184741307285149,0.994294,0.666953
0.63,1.0,2014-03-08 14:15:00,0.7187663546379623,0.6405504172134965,0.9982541203498844,1.12014832213756,0.995324,0.369957
0.63,1.0,2014-03-08 14:25:00,0.7269479544156386,0.6468991398196495,0.9984378814697268,1.1219869232595556,0.997493,0.244983
