CloudFraction_IR,CloudFraction_VIS,N_IR,N_VIS,Refl_IR,Refl_VIS,Time,temp
0.0,0.9975903614457832,1245,1245,-0.623131513595581,0.25018829107284546,2014-01-01 08:15:00,278.5991516113281
0.0,1.0,1245,1245,-0.8021722435951233,0.2863728106021881,2014-01-01 08:45:00,282.2732849121094
0.0,1.0,1245,1245,-1.089539647102356,0.30913472175598145,2014-01-01 09:15:00,285.0667419433594
0.0,1.0,1245,1245,-1.663726806640625,0.3297521471977234,2014-01-01 09:45:00,287.87042236328125
0.0,1.0,1245,1245,-3.65670108795166,0.34356996417045593,2014-01-01 10:15:00,290.2066345214844
0.19116465863453816,1.0,1245,1245,-27.450489044189453,0.3584401607513428,2014-01-01 10:45:00,291.8745422363281
1.0,1.0,1245,1245,3.7128796577453613,0.3695685565471649,2014-01-01 11:15:00,293.1661682128906
1.0,1.0,1245,1245,1.843589425086975,0.3843884766101837,2014-01-01 11:45:00,294.7397155761719
1.0,1.0,1245,1245,1.236647605895996,0.3986518085002899,2014-01-01 12:15:00,295.4133605957031
1.0,1.0,1245,1245,0.9417270421981812,0.41299816966056824,2014-01-01 12:45:00,295.7216796875
1.0,1.0,1245,1245,0.7667863965034485,0.4190260171890259,2014-01-01 13:15:00,295.40545654296875
1.0,1.0,1245,1245,0.6642029881477356,0.42373719811439514,2014-01-01 13:45:00,295.44464111328125
1.0,1.0,1245,1245,0.5974659323692322,0.42667680978775024,2014-01-01 14:15:00,295.4496765136719
1.0,1.0,1245,1245,0.5539223551750183,0.4285220503807068,2014-01-01 14:45:00,295.4246520996094
1.0,1.0,1245,1245,0.5157833695411682,0.4255344569683075,2014-01-01 15:15:00,293.95977783203125
1.0,1.0,1245,1245,0.4946209788322449,0.41328001022338867,2014-01-01 15:45:00,292.8279113769531
1.0,1.0,1245,1245,0.48830878734588623,0.40563029050827026,2014-01-01 16:15:00,292.2729187011719
1.0,1.0,1245,1245,0.4903261363506317,0.3939371109008789,2014-01-01 16:45:00,291.4172668457031
1.0,1.0,1245,1245,0.5000768303871155,0.38124769926071167,2014-01-01 17:15:00,290.21746826171875
1.0,1.0,1245,1245,0.529008686542511,0.3668241798877716,2014-01-01 17:45:00,289.8217468261719
1.0,1.0,1245,1245,0.5983871221542358,0.3668241798877716,2014-01-01 18:15:00,291.8640441894531
1.0,1.0,1245,1245,0.7021753191947937,0.36424463987350464,2014-01-01 18:45:00,293.8434753417969
1.0,1.0,1245,1245,0.8229007720947266,0.3493545949459076,2014-01-01 19:15:00,293.20050048828125
1.0,1.0,1245,1245,1.0605839490890503,0.34109917283058167,2014-01-01 19:45:00,294.095947265625
0.0,1.0,1245,1245,-0.6192965507507324,0.22594717144966125,2014-01-02 08:15:00,277.8603515625
0.0,1.0,1245,1245,-0.787907600402832,0.2586623430252075,2014-01-02 08:45:00,279.7384033203125
0.0,1.0,1245,1245,-1.0896612405776978,0.29425048828125,2014-01-02 09:15:00,282.4624938964844
0.0,1.0,1245,1245,-1.695959210395813,0.3318931758403778,2014-01-02 09:45:00,286.6864929199219
0.0,1.0,1245,1245,-4.729955196380615,0.34883540868759155,2014-01-02 10:15:00,288.8877868652344
0.40401606425702813,1.0,1245,1245,-0.5761871933937073,0.36427736282348633,2014-01-02 10:45:00,290.9225769042969
1.0,1.0,1245,1245,4.520906925201416,0.3779350221157074,2014-01-02 11:15:00,293.64105224609375
1.0,1.0,1245,1245,1.9937502145767212,0.3911588191986084,2014-01-02 11:45:00,295.71258544921875
1.0,1.0,1245,1245,1.3340539932250977,0.4043160080909729,2014-01-02 12:15:00,297.4582824707031
1.0,1.0,1245,1245,1.0072433948516846,0.41893482208251953,2014-01-02 12:45:00,298.12249755859375
0.9943775100401606,0.9943775100401606,1245,1245,0.8222125172615051,0.42616936564445496,2014-01-02 13:15:00,298.47991943359375
0.9799196787148594,0.9799196787148594,1245,1245,0.7059000730514526,0.43161842226982117,2014-01-02 13:45:00,298.5345764160156
0.9566265060240964,0.9566265060240964,1245,1245,0.6320763230323792,0.4355847239494324,2014-01-02 14:15:00,298.6184387207031
0.9485943775100402,0.9485943775100402,1245,1245,0.5809236168861389,0.437799334526062,2014-01-02 14:45:00,298.30914306640625
0.9751004016064257,0.9751004016064257,1245,1245,0.5474588871002197,0.4350959360599518,2014-01-02 15:15:00,297.82611083984375
0.9879518072289156,0.9879518072289156,1245,1245,0.5245295763015747,0.42365771532058716,2014-01-02 15:45:00,296.7997131347656
1.0,1.0,1245,1245,0.5181865096092224,0.41342616081237793,2014-01-02 16:15:00,296.2804870605469
1.0,1.0,1245,1245,0.5199865698814392,0.39896637201309204,2014-01-02 16:45:00,295.3354797363281
1.0,1.0,1245,1245,0.5393385291099548,0.38905638456344604,2014-01-02 17:15:00,295.0987243652344
1.0,1.0,1245,1245,0.5744540095329285,0.38037538528442383,2014-01-02 17:45:00,294.97314453125
1.0,1.0,1245,1245,0.6285244226455688,0.37092146277427673,2014-01-02 18:15:00,294.8013610839844
1.0,1.0,1245,1245,0.7159451246261597,0.3631606996059418,2014-01-02 18:45:00,295.0068664550781
1.0,1.0,1245,1245,0.8489000797271729,0.35432419180870056,2014-01-02 19:15:00,294.8754577636719
1.0,1.0,1245,1245,1.0702019929885864,0.3419387638568878,2014-01-02 19:45:00,294.59759521484375
0.0,1.0,1245,1245,-0.6308373212814331,0.24310222268104553,2014-01-03 08:15:00,278.6650695800781
0.0,1.0,1245,1245,-0.7931619882583618,0.28968197107315063,2014-01-03 08:45:00,283.83843994140625
0.0,1.0,1245,1245,-1.0447196960449219,0.3206583559513092,2014-01-03 09:15:00,288.06781005859375
0.0,1.0,1245,1245,-1.5103166103363037,0.3382028043270111,2014-01-03 09:45:00,291.2607421875
0.0,1.0,1245,1245,-3.3315677642822266,0.33982816338539124,2014-01-03 10:15:00,290.6383056640625
0.42811244979919677,1.0,1245,1245,-45.60554122924805,0.33953115344047546,2014-01-03 10:45:00,289.0186462402344
1.0,1.0,1245,1245,2.9427297115325928,0.34228840470314026,2014-01-03 11:15:00,287.9596862792969
